recId|SeqNumber|seqLength|displayLatitude|displayLongitude
0|1|1|38.0988609|-121.2696542
1|1|2|37.97271|-121.30047
1|2|2|37.9740699|-121.2958644
2|1|1|37.95509|-121.32232
3|1|1|39.14979|-123.20786
4|1|1|33.74957|-117.8115
5|1|1|37.87674|-122.30344
6|1|1|37.87674|-122.30344
7|1|1|37.8734|-122.26883
8|1|1|37.33607|-121.89426
9|1|1|37.39478|-122.08058
10|1|1|37.78539|-122.39953
11|1|1|38.43982|-122.71248
12|1|1|34.4167598|-119.6910472
13|1|1|37.77042|-122.5108
14|1|1|34.42283|-119.68776
15|1|1|32.79425|-117.25526
16|1|1|33.91675|-117.89975
17|1|1|32.77724|-117.0516
18|1|1|38.54724|-121.72553
19|1|1|38.59648|-121.43926
20|1|1|38.51355|-122.98253
21|1|1|33.11564|-117.12027
22|1|1|37.5800039|-122.3461031
23|1|1|33.6495075|-117.8398372
24|1|1|33.5754655|-117.7236549
25|1|1|37.64168|-121.00417
26|1|1|37.73854|-122.38097
27|1|1|36.16621|-121.02969
28|1|1|37.28667|-121.94639
29|1|1|32.99293|-117.27221
30|1|1|37.9678443|-120.3129161
31|1|1|38.24226|-120.36195
32|1|1|38.30994|-120.27745
33|1|1|34.061649|-118.012529
34|1|1|40.9285|-124.10229
35|1|1|38.5255|-122.49699
36|1|1|39.7245|-121.81483
37|1|1|34.1623622|-118.052985
38|1|1|37.76552|-122.44963
39|1|1|36.75789|-119.80216
40|1|1|36.8711201|-119.7620574
41|1|1|36.96755|-122.00827
42|1|1|37.96778|-121.78569
43|1|1|36.95894|-122.04848
44|1|1|36.9866|-122.03881
45|1|1|34.41663|-119.69597
46|1|1|33.7386151|-118.2842602
47|1|1|33.13519|-117.19088
48|1|1|37.7966454|-122.4050878
49|1|1|32.79221|-117.0989
50|1|1|38.805241|-123.0165796
51|1|1|38.4418|-122.71164
52|1|1|38.5729|-121.48107
53|1|1|37.79999|-122.41041
54|1|1|37.28841|-121.93338
55|1|1|32.87132|-117.23399
56|1|1|32.71197|-117.1608
57|1|1|33.76716|-118.19255
58|1|1|33.98147|-117.3702
59|1|1|38.5814634|-121.5018185
60|1|1|34.49951|-118.61706
61|1|1|33.81695|-118.38706
62|1|1|37.2972|-120.35178
63|1|1|33.83565|-118.3161
64|1|1|33.68059|-117.66349
65|1|1|37.87991|-122.29974
66|1|1|37.89936|-122.06183
67|1|1|38.57903|-121.49272
68|1|1|37.87991|-122.29974
69|1|1|33.14139|-117.14988
70|1|1|33.1599|-117.34772
71|1|1|32.99293|-117.27221
72|1|1|33.42889|-117.61354
73|1|1|36.60174|-121.89445
74|1|1|37.80151|-122.27422
75|1|1|34.10581|-117.54686
76|1|1|32.96553|-117.08982
77|1|1|33.61978|-117.67551
78|1|1|33.0478|-117.28551
79|1|1|33.18908|-117.25422
80|1|1|33.52382|-117.1506
81|1|1|32.838854|-116.9806307
82|1|1|34.41563|-118.46384
83|1|1|33.82593|-117.83642
84|1|1|32.7799|-117.1289
85|1|1|33.6797|-118.00206
86|1|1|33.0692323|-117.0685983
87|1|1|32.95423|-117.22944
